	pathway_id	cancer_type	mean_expr	url	name	pathway_times_enriched	pathway_avg_fdr	pathway_avg_rank	pathway_avg_overlap	cancer_type_rank	entities_ratio	entities_pValue	entities_fdr	entities_found	entities_total
32	R-HSA-72689	ccrcc	0.6631578947368421	https://reactome.org/PathwayBrowser/#/R-HSA-72689&DTAB=AN&ANALYSIS=MjAyMDA2MDkxNjQ1MDNfMjc1	Formation of a pool of free 40S subunits	8	0.7286277557276357	11.75	0.00730329337191677	17	0.00730329337191677	0.09095154582580922	0.8426403962485929	100	106
33	R-HSA-72689	colon	0.86	https://reactome.org/PathwayBrowser/#/R-HSA-72689&DTAB=AN&ANALYSIS=MjAyMDA2MDkxNjQ1MDZfMjc2	Formation of a pool of free 40S subunits	8	0.7286277557276357	11.75	0.00730329337191677	6	0.00730329337191677	0.0001239514492032967	0.02580881972706428	101	106
34	R-HSA-72689	endometrial	0.711340206185567	https://reactome.org/PathwayBrowser/#/R-HSA-72689&DTAB=AN&ANALYSIS=MjAyMDA2MDkxNjQ1MDlfMjc3	Formation of a pool of free 40S subunits	8	0.7286277557276357	11.75	0.00730329337191677	15	0.00730329337191677	0.0773777238480009	0.8219205345749762	100	106
35	R-HSA-72689	gbm	0.8924731182795699	https://reactome.org/PathwayBrowser/#/R-HSA-72689&DTAB=AN&ANALYSIS=MjAyMDA2MDkxNjQ1MTNfMjc4	Formation of a pool of free 40S subunits	8	0.7286277557276357	11.75	0.00730329337191677	8	0.00730329337191677	0.06536888040810229	0.803797666027487	101	106
36	R-HSA-72689	hnscc	0.23595505617977527	https://reactome.org/PathwayBrowser/#/R-HSA-72689&DTAB=AN&ANALYSIS=MjAyMDA2MDkxNjQ1MTZfMjc5	Formation of a pool of free 40S subunits	8	0.7286277557276357	11.75	0.00730329337191677	17	0.00730329337191677	0.1328220040511987	0.83292086846573	101	106
37	R-HSA-72689	lscc	0.6521739130434783	https://reactome.org/PathwayBrowser/#/R-HSA-72689&DTAB=AN&ANALYSIS=MjAyMDA2MDkxNjQ1MTlfMjgw	Formation of a pool of free 40S subunits	8	0.7286277557276357	11.75	0.00730329337191677	16	0.00730329337191677	0.10567217607141288	0.8726502026225027	97	106
38	R-HSA-72689	luad	0.6808510638297872	https://reactome.org/PathwayBrowser/#/R-HSA-72689&DTAB=AN&ANALYSIS=MjAyMDA2MDkxNjQ1MjNfMjgx	Formation of a pool of free 40S subunits	8	0.7286277557276357	11.75	0.00730329337191677	10	0.00730329337191677	0.05638716883442263	0.8489584258572173	97	106
39	R-HSA-72689	ovarian	0.875	https://reactome.org/PathwayBrowser/#/R-HSA-72689&DTAB=AN&ANALYSIS=MjAyMDA2MDkxNjQ1MjZfMjgy	Formation of a pool of free 40S subunits	8	0.7286277557276357	11.75	0.00730329337191677	5	0.00730329337191677	0.01418225387094696	0.7803251322975149	101	106
40	R-HSA-1236977	ccrcc	0.8987341772151899	https://reactome.org/PathwayBrowser/#/R-HSA-1236977&DTAB=AN&ANALYSIS=MjAyMDA2MDkxNjQ1MDNfMjc1	Endosomal/Vacuolar pathway	8	0.73062867018748	12.625	0.005649717514124294	15	0.005649717514124294	0.08761200363988542	0.8426403962485929	79	82
41	R-HSA-1236977	colon	0.8441558441558441	https://reactome.org/PathwayBrowser/#/R-HSA-1236977&DTAB=AN&ANALYSIS=MjAyMDA2MDkxNjQ1MDZfMjc2	Endosomal/Vacuolar pathway	8	0.73062867018748	12.625	0.005649717514124294	19	0.005649717514124294	0.0004565422487629034	0.041816135405818744	79	82
42	R-HSA-1236977	endometrial	1.0	https://reactome.org/PathwayBrowser/#/R-HSA-1236977&DTAB=AN&ANALYSIS=MjAyMDA2MDkxNjQ1MDlfMjc3	Endosomal/Vacuolar pathway	8	0.73062867018748	12.625	0.005649717514124294	13	0.005649717514124294	0.07589571471336809	0.8219205345749762	79	82
