	stId
386	R-HSA-380259
387	R-HSA-6790901
388	R-HSA-112043
389	R-HSA-8848021
390	R-HSA-936837
391	R-HSA-9616222
392	R-HSA-2559586
393	R-HSA-69580
394	R-HSA-69563
395	R-HSA-6784531
396	R-HSA-8943724
397	R-HSA-373755
398	R-HSA-2426168
399	R-HSA-3371497
400	R-HSA-375165
401	R-HSA-168643
402	R-HSA-6782315
403	R-HSA-196071
404	R-HSA-211976
405	R-HSA-1268020
406	R-HSA-450294
407	R-HSA-1442490
408	R-HSA-1660499
409	R-HSA-2428928
410	R-HSA-163841
411	R-HSA-68867
412	R-HSA-6782135
413	R-HSA-8873719
414	R-HSA-983189
415	R-HSA-2644603
416	R-HSA-2644602
417	R-HSA-2644606
418	R-HSA-2894858
419	R-HSA-2894862
420	R-HSA-379724
421	R-HSA-352230
422	R-HSA-8956321
423	R-HSA-174154
424	R-HSA-73856
425	R-HSA-9033241
426	R-HSA-5678895
427	R-HSA-2022090
428	R-HSA-421270
429	R-HSA-977443
430	R-HSA-201722
431	R-HSA-156590
432	R-HSA-186712
433	R-HSA-72662
434	R-HSA-6782210
435	R-HSA-4608870
436	R-HSA-75955
437	R-HSA-194441
438	R-HSA-191859
439	R-HSA-5607761
440	R-HSA-9029569
441	R-HSA-5693565
442	R-HSA-70263
443	R-HSA-8979227
444	R-HSA-5576892
445	R-HSA-8978934
446	R-HSA-2980766
447	R-HSA-429914
448	R-HSA-6791312
449	R-HSA-1433557
450	R-HSA-112399
451	R-HSA-3299685
452	R-HSA-1483166
453	R-HSA-1483191
454	R-HSA-5621480
455	R-HSA-72702
456	R-HSA-5387390
457	R-HSA-5578775
458	R-HSA-73772
459	R-HSA-5655253
460	R-HSA-174084
461	R-HSA-112382
462	R-HSA-193648
463	R-HSA-6811436
464	R-HSA-9012852
465	R-HSA-3214815
466	R-HSA-5674135
467	R-HSA-8935690
468	R-HSA-4551638
469	R-HSA-72649
470	R-HSA-5610783
471	R-HSA-5610785
472	R-HSA-187577
473	R-HSA-5610780
474	R-HSA-5654736
475	R-HSA-180786
476	R-HSA-5250924
477	R-HSA-418597
478	R-HSA-1221632
479	R-HSA-73929
480	R-HSA-8956320
481	R-HSA-3000171
482	R-HSA-432722
483	R-HSA-9639288
484	R-HSA-177929
485	R-HSA-8866654
486	R-HSA-109606
487	R-HSA-5362768
488	R-HSA-5676590
489	R-HSA-6794361
490	R-HSA-5339562
491	R-HSA-4085001
492	R-HSA-68827
493	R-HSA-69541
494	R-HSA-202433
495	R-HSA-3371571
496	R-HSA-373752
497	R-HSA-2514856
498	R-HSA-197264
499	R-HSA-72187
500	R-HSA-5655302
501	R-HSA-109704
502	R-HSA-912446
503	R-HSA-70895
504	R-HSA-2162123
505	R-HSA-6799198
506	R-HSA-4641258
507	R-HSA-8941858
508	R-HSA-4641257
509	R-HSA-9604323
510	R-HSA-73893
511	R-HSA-5693571
512	R-HSA-2122947
513	R-HSA-70268
514	R-HSA-532668
515	R-HSA-380108
516	R-HSA-2453902
517	R-HSA-450408
518	R-HSA-72165
519	R-HSA-180585
520	R-HSA-5620924
521	R-HSA-6781823
522	R-HSA-157858
523	R-HSA-9031628
524	R-HSA-209776
525	R-HSA-8854050
526	R-HSA-174113
527	R-HSA-5620920
528	R-HSA-6811440
529	R-HSA-6802955
530	R-HSA-76042
531	R-HSA-3928665
532	R-HSA-437239
533	R-HSA-140877
534	R-HSA-2173793
535	R-HSA-3560782
536	R-HSA-445355
537	R-HSA-2299718
538	R-HSA-156588
539	R-HSA-2046104
540	R-HSA-72695
541	R-HSA-169911
542	R-HSA-75815
543	R-HSA-349425
544	R-HSA-69601
545	R-HSA-69613
546	R-HSA-69610
547	R-HSA-6802949
548	R-HSA-6802946
549	R-HSA-9649948
550	R-HSA-75153
551	R-HSA-168274
552	R-HSA-606279
553	R-HSA-774815
554	R-HSA-8963899
555	R-HSA-2514859
556	R-HSA-180534
557	R-HSA-73776
558	R-HSA-3214858
559	R-HSA-1236978
560	R-HSA-1489509
561	R-HSA-76009
562	R-HSA-2172127
563	R-HSA-168333
564	R-HSA-5654741
565	R-HSA-5683826
566	R-HSA-1614558
567	R-HSA-77286
568	R-HSA-167162
569	R-HSA-167161
570	R-HSA-75953
571	R-HSA-167169
572	R-HSA-167246
573	R-HSA-8864260
574	R-HSA-6802948
575	R-HSA-432040
576	R-HSA-190828
577	R-HSA-1638074
578	R-HSA-8955332
579	R-HSA-2142691
580	R-HSA-9033658
581	R-HSA-156581
582	R-HSA-4570464
583	R-HSA-350562
584	R-HSA-3928662
585	R-HSA-5654743
586	R-HSA-73928
587	R-HSA-110329
588	R-HSA-9637690
589	R-HSA-75876
590	R-HSA-549132
591	R-HSA-1461973
592	R-HSA-73621
593	R-HSA-4615885
594	R-HSA-211733
595	R-HSA-73762
596	R-HSA-167152
