Gene_set	Term	Overlap	P-value	Adjusted P-value	Genes
CUSTOM140674733480768	ATF4 activates genes in response to endoplasmic reticulum  stress	25/28			EXOSC5;EXOSC1;EXOSC9;EXOSC4;ASNS;EXOSC7;EXOSC8;PARN;CCL2;EXOSC3;NFYC;DIS3;DCP2;HERPUD1;CXCL8;EXOSC6;IGFBP1;NFYB;CEBPB;KHSRP;NFYA;CEBPG;ATF6;ATF3;EXOSC2
CUSTOM140674733480768	ATF6 (ATF6-alpha) activates chaperone genes	7/10			NFYA;ATF6;HSP90B1;NFYB;NFYC;CALR;HSPA5
CUSTOM140674733480768	ATF6 (ATF6-alpha) activates chaperones	9/12			NFYA;MBTPS2;ATF6;HSP90B1;NFYB;NFYC;MBTPS1;CALR;HSPA5
CUSTOM140674733480768	ATP sensitive Potassium channels	3/4			KCNJ11;ABCC8;ABCC9
CUSTOM140674733480768	AUF1 (hnRNP D0) binds and destabilizes mRNA	53/55			PSMB2;PSMB9;PSMD12;PSMD8;PSMD11;RPS27A;PSMC1;PSMA4;PSMA5;HNRNPD;PSMA7;PSMD10;PSMB4;PSMA1;PSMD6;PSMB3;PSMB10;PSMA6;PSMC6;PSMC3;PSME2;PSMD9;PSMD4;PSMD5;PSMC4;PSMB11;PSMA2;HSPA8;PABPC1;PSMD1;PSMD14;PSMD3;UBB;PSMC2;PSMD7;PSME4;PSMB1;PSMB8;PSME1;UBA52;PSMA8;PSMA3;EIF4G1;PSMC5;PSMB6;PSMD2;HSPB1;PSMF1;PSMB5;PSMB7;PSME3;PSMD13;HSPA1A
CUSTOM140674733480768	AURKA Activation by TPX2	68/72			YWHAG;DYNLL1;AURKA;CKAP5;CEP152;CEP57;CEP63;HAUS8;OFD1;PCNT;ALMS1;TUBA1A;CEP78;CEP290;HMMR;NEDD1;CEP131;CEP41;PRKACA;TPX2;CDK1;CENPJ;CEP192;CEP76;HAUS3;TUBA4A;TUBB4B;FGFR1OP;HAUS4;TUBG1;DCTN2;DYNC1H1;NDE1;NINL;HAUS1;CEP70;CCP110;TUBB4A;AKAP9;CSNK1D;CDK5RAP2;PPP2R1A;ACTR1A;CNTRL;ODF2;PAFAH1B1;CEP164;HSP90AA1;YWHAE;HAUS2;TUBB;DCTN1;PCM1;SFI1;HAUS7;CETN2;SDCCAG8;DYNC1I2;PRKAR2B;MAPRE1;DCTN3;PLK1;HAUS6;HAUS5;CEP135;SSNA1;CLASP1;CEP250
CUSTOM140674733480768	AXIN missense mutants destabilize the destruction complex	13/14			PPP2R1B;PPP2R5D;APC;PPP2R1A;GSK3B;CSNK1A1;PPP2R5B;PPP2CA;AXIN1;PPP2CB;PPP2R5C;PPP2R5A;PPP2R5E
CUSTOM140674733480768	AXIN mutants destabilize the destruction complex, activating WNT signaling	13/14			PPP2R1B;PPP2R5D;APC;PPP2R1A;GSK3B;CSNK1A1;PPP2R5B;PPP2CA;AXIN1;PPP2CB;PPP2R5C;PPP2R5A;PPP2R5E
CUSTOM140674733480768	Abacavir metabolism	5/5			ADAL;GUK1;ADH1A;PCK1;NT5C2
CUSTOM140674733480768	Abacavir transmembrane transport	4/5			ABCB1;SLC22A3;SLC22A2;ABCG2
CUSTOM140674733480768	Abacavir transport and metabolism	9/10			ABCB1;ADAL;GUK1;ADH1A;SLC22A2;PCK1;SLC22A3;NT5C2;ABCG2
CUSTOM140674733480768	Abasic sugar-phosphate removal via the single-nucleotide replacement pathway	2/2			POLB;APEX1
CUSTOM140674733480768	Aberrant regulation of mitotic G1/S transition in cancer due to RB1 defects	14/17			RB1;CDK4;CCNE1;CDKN1A;CDKN1B;CDKN1C;TFDP2;CCND3;CDK2;TFDP1;E2F3;CCND2;CDK6;CCND1
CUSTOM140674733480768	Aberrant regulation of mitotic cell cycle due to RB1 defects	33/36			RB1;ANAPC15;ANAPC10;CDC26;CCNE1;CDC16;CDKN1C;CCND3;ANAPC7;ANAPC5;UBE2E1;UBE2C;CDK4;CDKN1A;CDKN1B;UBE2S;ANAPC16;FZR1;CDC23;CCND2;ANAPC1;CDK6;TFDP2;ANAPC11;CDK2;ANAPC2;TFDP1;CCND1;UBE2D1;SKP2;CDC27;E2F3;ANAPC4
CUSTOM140674733480768	Aberrant regulation of mitotic exit in cancer due to RB1 defects	20/20			RB1;ANAPC15;ANAPC10;CDC26;CDC16;UBE2E1;ANAPC7;ANAPC5;UBE2C;UBE2S;ANAPC16;FZR1;CDC23;ANAPC1;ANAPC11;ANAPC2;UBE2D1;SKP2;CDC27;ANAPC4
CUSTOM140674733480768	Abnormal conversion of 2-oxoglutarate to 2-hydroxyglutarate	1/1			IDH1
CUSTOM140674733480768	Abortive elongation of HIV-1 transcript in the absence of Tat	23/23			NCBP2;POLR2D;POLR2I;POLR2J;GTF2F1;SUPT4H1;SUPT5H;POLR2L;POLR2H;NELFB;NELFE;POLR2B;NCBP1;NELFA;NELFCD;CTDP1;POLR2C;POLR2E;POLR2A;POLR2F;POLR2G;GTF2F2;POLR2K
CUSTOM140674733480768	Acetylation	1/2			NAT1
CUSTOM140674733480768	Acetylcholine Neurotransmitter Release Cycle	13/17			PPFIA2;PPFIA1;STXBP1;RIMS1;RAB3A;PPFIA3;UNC13B;SYT1;CPLX1;SNAP25;PPFIA4;VAMP2;STX1A
CUSTOM140674733480768	Acetylcholine binding and downstream events	1/14			CHRNE
CUSTOM140674733480768	Acetylcholine regulates insulin secretion	10/10			GNA14;PLCB1;GNA15;CHRM3;PRKCA;PLCB3;PLCB2;GNAQ;GNA11;MARCKS
CUSTOM140674733480768	Acrosome Reaction and Sperm:Oocyte Membrane Binding	1/6			CD9
CUSTOM140674733480768	Activated NOTCH1 Transmits Signal to the Nucleus	23/31			PSEN2;DTX2;RPS27A;ADAM10;NOTCH1;JAG2;ARRB1;ADAM17;DNER;MIB1;CNTN1;PSEN1;ARRB2;DTX4;ITCH;NCSTN;NUMB;UBB;UBA52;MIB2;JAG1;APH1A;NEURL1
CUSTOM140674733480768	Activated NTRK2 signals through CDK5	6/6			NTRK2;BDNF;CDK5R1;RAC1;CDK5;TIAM1
CUSTOM140674733480768	Activated NTRK2 signals through FRS2 and FRS3	9/11			SOS1;GRB2;NTRK2;KRAS;BDNF;PTPN11;HRAS;NRAS;FRS3
CUSTOM140674733480768	Activated NTRK2 signals through FYN	7/7			DOCK3;NTRK2;BDNF;GRIN2B;RAC1;FYN;SRC
CUSTOM140674733480768	Activated NTRK2 signals through PI3K	6/7			PIK3CA;GRB2;PIK3R1;NTRK2;BDNF;GAB1
CUSTOM140674733480768	Activated NTRK2 signals through PLCG1	3/4			NTRK2;BDNF;PLCG1
CUSTOM140674733480768	Activated NTRK2 signals through RAS	8/9			SOS1;GRB2;NTRK2;KRAS;BDNF;SHC1;HRAS;NRAS
CUSTOM140674733480768	Activated NTRK3 signals through PI3K	6/6			PIK3CA;PIK3R1;NTRK3;IRS1;SRC;NTF3
CUSTOM140674733480768	Activated NTRK3 signals through PLCG1	3/3			PLCG1;NTF3;NTRK3
