Gene_set	Term	Overlap	P-value	Adjusted P-value	Genes
CUSTOM140674733480768	Norepinephrine Neurotransmitter Release Cycle	15/18			PPFIA2;PPFIA1;STXBP1;RIMS1;RAB3A;PPFIA3;UNC13B;SYT1;STX1A;CPLX1;SLC22A2;SNAP25;PPFIA4;VAMP2;MAOA
CUSTOM140674733480768	Notch-HLH transcription pathway	27/28			HDAC2;RBPJ;NOTCH4;MAML1;MAML2;KAT2A;NOTCH1;HDAC10;HDAC11;HDAC5;KAT2B;TBL1X;HDAC4;MAML3;HDAC9;SNW1;CREBBP;NCOR1;HDAC3;HDAC7;HDAC6;NOTCH3;NOTCH2;NCOR2;HDAC8;TBL1XR1;HDAC1
CUSTOM140674733480768	NrCAM interactions	7/7			DLG4;ANK1;NRCAM;DLG3;CNTN2;DLG1;NRP2
CUSTOM140674733480768	Nuclear Envelope (NE) Reassembly	75/76			BANF1;NUP58;TUBB8;NUP43;POM121;SEC13;ANKLE2;CCNB2;NUP188;NUP93;TUBAL3;TUBA1A;TUBB1;SUMO1;NUP35;TUBB2B;VRK1;TUBB3;RANGAP1;CDK1;CHMP2B;TUBA4A;CHMP4C;LEMD3;LMNA;CHMP6;TNPO1;TUBB4B;NUP37;LMNB1;SEH1L;KPNB1;TUBA1B;CHMP2A;TUBA3D;TUBB6;CHMP3;EMD;NUP133;NUP85;RAN;TUBB4A;CHMP7;SIRT2;TUBA4B;AHCTF1;NUP205;LEMD2;CCNB1;SPAST;NUP107;PPP2R1A;LBR;TUBA3C;VPS4A;TUBA8;NUP155;TMPO;NDC1;PPP2R2A;TUBA3E;UBE2I;CC2D1B;TUBB2A;CHMP4A;RCC1;NUP54;IST1;NUP62;VRK2;NUP98;CHMP4B;NUP160;TUBA1C;PPP2CA
CUSTOM140674733480768	Nuclear Envelope Breakdown	52/53			BANF1;NUP58;NUP43;LPIN3;POM121;AAAS;SEC13;CCNB2;NUP188;NUP93;NUP35;VRK1;CDK1;LPIN2;TPR;LEMD3;LMNA;NUP50;NUP37;LMNB1;NEK6;RANBP2;SEH1L;LPIN1;EMD;NUP133;NUP85;NUP210;NUP214;NUP153;LEMD2;NUP205;CTDNEP1;PRKCB;CCNB1;POM121C;NEK7;NUP107;RAE1;NUP155;TMPO;NDC1;NUP88;CNEP1R1;NUP54;NUP62;PRKCA;VRK2;PLK1;NUP98;NUP160;NEK9
CUSTOM140674733480768	Nuclear Events (kinase and transcription factor activation)	54/62			ID3;ELK1;ARC;DNM2;CHD4;ID4;MAPK11;FOSB;JUNB;FOSL1;CDK5R1;CDK5;RPS6KA3;SRF;DUSP3;TPH1;EGR3;NAB2;DUSP6;MAPK1;PPP2R1B;TF;MAPK3;FOS;EP300;SH3GL3;VRK3;MAPK14;DUSP7;PPP2R5D;TCF12;RRAD;RPS6KA1;MEF2C;EGR1;MAPKAPK2;JUND;MEF2D;PPP2R1A;ATF2;RPS6KA5;NAB1;CREB1;PPP2CB;RPS6KA2;MEF2A;F3;CDK5R2;MAPK7;ATF1;REST;VGF;ID1;PPP2CA
CUSTOM140674733480768	Nuclear Pore Complex (NPC) Disassembly	35/36			NUP58;POM121;NUP43;AAAS;SEC13;CCNB2;NUP188;NUP93;NUP35;CDK1;TPR;NUP50;NUP37;NEK6;RANBP2;SEH1L;NUP85;NUP133;NUP214;NUP210;NUP153;NUP205;CCNB1;POM121C;NEK7;NUP107;RAE1;NUP155;NDC1;NUP88;NUP54;NUP62;NUP98;NUP160;NEK9
CUSTOM140674733480768	Nuclear Receptor transcription pathway	33/53			VDR;PGR;NR2F6;PPARD;RARG;NR1H4;ESRRG;NR2F1;THRA;NR3C1;NR2C2;RARA;NR4A1;RORA;MED1;NR4A3;NCOR1;RXRA;NR2C1;NRBP1;NR3C2;ESR1;NR1H2;HNF4G;NRBF2;NR1D1;ESRRA;NR2C2AP;NCOR2;NR1D2;RXRB;AR;HNF4A
CUSTOM140674733480768	Nuclear import of Rev protein	33/34			NUP58;POM121;NUP43;AAAS;SEC13;NUP188;NUP93;NUP35;TPR;NUP50;NUP37;RANBP2;SEH1L;KPNB1;NUP85;NUP133;RAN;NUP210;NUP214;NUP153;NUP205;POM121C;NUP107;RAE1;NUP155;NDC1;NPM1;NUP88;RCC1;NUP54;NUP62;NUP98;NUP160
CUSTOM140674733480768	Nuclear signaling by ERBB4	23/32			PSEN2;ERBB4;CXCL12;WWOX;GFAP;BTC;S100B;NRG1;ADAM17;TAB2;SRC;NCOR1;APOE;PSEN1;NCSTN;ESR1;YAP1;STMN1;STAT5A;PGR;APH1A;SPARC;ADAP1
CUSTOM140674733480768	Nucleobase biosynthesis	15/15			ADSS;GART;ADSSL1;UMPS;PAICS;DHODH;GMPS;ADSL;IMPDH1;ATIC;PPAT;IMPDH2;LHPP;PFAS;CAD
CUSTOM140674733480768	Nucleobase catabolism	33/36			NT5C3A;ITPA;NUDT18;UPB1;NUDT5;ENTPD3;NT5M;GPX1;NT5E;TYMP;GDA;ENTPD4;ENTPD1;NT5C;ENTPD6;NUDT9;XDH;UPP1;NT5C2;NT5C1A;NUDT1;ENTPD2;ENTPD5;DNPH1;ENTPD7;SAMHD1;DPYD;AGXT2;NUDT15;PNP;ADPRM;NUDT16;DPYS
CUSTOM140674733480768	Nucleosome assembly	23/54			RUVBL1;CENPH;H2AFX;MIS18A;HJURP;CENPI;RBBP4;CENPC;CENPO;CENPP;CENPQ;MIS18BP1;RSF1;OIP5;CENPL;CENPU;RBBP7;CENPM;NPM1;CENPN;SMARCA5;CENPK;KNL1
CUSTOM140674733480768	Nucleotide Excision Repair	108/110			UBE2N;POLD2;POLR2D;RFC3;POLD4;POLR2H;RPA2;USP45;UVSSA;PPIE;XPC;POLR2B;RFC5;INO80E;RFC1;GTF2H1;ERCC4;ACTL6A;UBA52;GTF2H2;POLE4;POLR2A;RAD23A;CUL4A;RUVBL1;ERCC5;POLR2I;ACTR5;SUMO1;ERCC1;PRPF19;POLE;GTF2H4;PIAS3;POLD3;SUMO3;INO80D;PCNA;MNAT1;AQR;POLD1;UBB;ACTR8;COPS7A;ACTB;UBE2I;ISY1;CCNH;RPA1;COPS7B;COPS4;TCEA1;ERCC8;POLR2G;POLR2K;RPS27A;RBX1;POLK;CDK7;COPS5;POLR2L;ERCC3;GTF2H5;SUMO2;XAB2;YY1;PARP1;EP300;INO80C;RFC2;ERCC6;DDB2;DDB1;RAD23B;COPS2;NFRKB;ZNF830;ELL;CUL4B;INO80;POLR2F;XRCC1;INO80B;POLE2;POLE3;COPS3;PIAS1;USP7;POLR2J;UBE2V2;RFC4;ERCC2;MCRS1;COPS8;GPS1;LIG3;GTF2H3;LIG1;XPA;TFPT;PARP2;HMGN1;POLR2C;POLR2E;RPA3;CETN2;COPS6;CHD1L
CUSTOM140674733480768	Nucleotide salvage	22/23			DGUOK;UCK1;DCK;TYMP;APRT;ADK;AMPD3;ADAL;UPP1;UCK2;GMPR;ADA;HPRT1;PUDP;TK1;UCKL1;GMPR2;TK2;AMPD1;CDA;PNP;AMPD2
CUSTOM140674733480768	Nucleotide-binding domain, leucine rich repeat containing receptor (NLR) signaling pathways	48/55			P2RX7;UBE2N;SUGT1;CASP4;MAPK11;MAP2K6;BIRC2;TXN;PANX1;CYLD;PYCARD;TXNIP;TAB1;HSP90AB1;MAP3K7;MEFV;RELA;BIRC3;NOD1;IKBKB;TNFAIP3;CASP9;TRAF6;NLRP1;TAB2;APP;CASP8;MAPK14;CARD9;CASP1;ITCH;UBE2V1;IRAK1;MAPK13;AIM2;NLRC4;BCL2L1;RIPK2;MAPK12;BCL2;CASP2;CHUK;IKBKG;AAMP;NFKB2;NFKB1;TAB3;PSTPIP1
CUSTOM140674733480768	Nucleotide-like (purinergic) receptors	4/16			P2RY12;ADORA1;P2RY2;GPR17
CUSTOM140674733480768	O-glycosylation of TSR domain-containing proteins	30/39			POFUT2;ADAMTS14;CFP;SBSPON;THSD1;ADAMTSL5;ADAMTS5;ADAMTS15;ADAMTS2;ADAMTS16;ADAMTS12;ADAMTSL2;ADAMTSL4;ADAMTSL1;THSD7A;SPON2;THBS1;THSD4;ADAMTS4;ADAMTS18;ADAMTS8;ADAMTSL3;SEMA5B;B3GLCT;THBS2;ADAMTS7;SPON1;ADAMTS13;ADAMTS1;SEMA5A
CUSTOM140674733480768	O-linked glycosylation	81/114			ADAMTS14;THSD1;C1GALT1C1;ST6GALNAC3;ADAMTS16;B3GNT5;GALNT1;THBS1;GALNT14;GALNT10;ADAMTS8;B3GNT2;B3GLCT;POMK;B3GNT3;DAG1;MUC19;B3GNT9;SPON1;ADAMTS13;GALNT5;GALNT3;GCNT1;B3GNT7;GALNT4;GALNT12;GALNT2;GALNT6;ADAMTS5;B4GAT1;ADAMTS15;ST3GAL4;ADAMTSL2;B3GNT6;ADAMTSL4;MUC2;SPON2;POMT1;SEMA5B;MUC5B;GALNT11;CFP;B4GALT5;GCNT3;MUC1;ADAMTS2;MUC5AC;GALNT8;B3GNTL1;ADAMTSL1;ST3GAL2;ADAMTS18;ST3GAL1;MUC7;GALNT16;GALNT18;ADAMTS1;POFUT2;C1GALT1;MUC4;SBSPON;B3GNT8;ADAMTSL5;GALNT7;POMGNT1;MUC16;ADAMTS12;THSD7A;MUC13;ST6GAL1;THSD4;ADAMTS4;POMGNT2;ADAMTSL3;MUC15;POMT2;GALNT17;THBS2;ADAMTS7;SEMA5A;MUC21
CUSTOM140674733480768	O-linked glycosylation of mucins	44/65			GALNT4;C1GALT1;MUC4;B4GALT5;GCNT3;B3GNT8;GALNT12;GALNT2;GALNT6;C1GALT1C1;MUC1;ST3GAL4;GALNT7;MUC5AC;MUC16;ST6GALNAC3;GALNT8;B3GNT6;B3GNTL1;B3GNT5;MUC13;MUC2;GALNT1;ST6GAL1;ST3GAL2;GALNT14;GALNT10;B3GNT2;MUC15;GALNT17;ST3GAL1;B3GNT3;MUC19;MUC7;B3GNT9;GALNT16;GALNT18;MUC5B;GALNT5;GALNT3;GCNT1;GALNT11;MUC21;B3GNT7
CUSTOM140674733480768	O2/CO2 exchange in erythrocytes	11/12			CA1;HBA1;HBB;CYB5R2;RHAG;CYB5R1;CA4;CA2;CYB5R4;SLC4A1;AQP1
CUSTOM140674733480768	OAS antiviral response	9/10			RNASEL;OASL;PDE12;OAS1;OAS2;DDX58;OAS3;ABCE1;FLNA
CUSTOM140674733480768	Olfactory Signaling Pathway	15/432			REEP1;GNGT1;OR13C8;RTP4;REEP5;GNB1;REEP2;OR1M1;OR4K3;GNAL;OR4C16;OR52N1;REEP6;REEP3;REEP4
CUSTOM140674733480768	Oligomerization of connexins into connexons	3/3			GJA1;GJB2;GJB1
CUSTOM140674733480768	Oncogene Induced Senescence	29/35			RB1;CDKN2C;RPS27A;AGO3;SP1;TNRC6B;TNRC6C;MAPK1;ETS1;CDK4;MOV10;MAPK3;TP53;AGO1;CDK6;ERF;TFDP2;CDKN2A;ETS2;AGO4;CDKN2B;MDM4;TFDP1;UBB;CDKN2D;UBA52;TNRC6A;E2F3;ID1
CUSTOM140674733480768	Oncogenic MAPK signaling	77/80			SHOC2;ARAF;MARK3;CNKSR1;MPRIP;DUSP6;DUSP9;NF1;YWHAB;KRAS;TLN1;FGA;SND1;BRAP;FAM114A2;VWF;QKI;KSR2;IQGAP1;RAP1B;KIAA1549;LMNA;AKAP9;TENT4A;BCL2L11;AGTRAP;CAMK2D;SPRED3;ITGA2B;ITGB3;APBB1IP;VCL;MAP3K11;ESRP1;RAP1A;MAP2K1;PPP1CC;CSK;MAPK1;FGG;AGGF1;MAPK3;CLCN6;PHB;AGK;ARRB2;HRAS;CAMK2A;MAP2K2;CNKSR2;ATG7;JAK2;TRAK1;MRAS;TRIM24;PAPSS1;SPRED2;PPP1CB;PEBP1;FN1;AP3B1;CALM1;ARRB1;FGB;FXR1;NRAS;SRC;FAM131B;DUSP7;BRAF;CAMK2B;DUSP16;SPRED1;RAF1;ZC3HAV1;KSR1;CAMK2G
CUSTOM140674733480768	Opioid Signalling	84/90			PPP1CA;PRKAR1A;PRKCG;GNG2;PRKAR1B;GNAT1;GNG10;CAMKK1;ADCY6;GNG7;PDE1B;PLCB3;GNG13;PPP3CB;PDE4A;CREB1;GNGT1;ADCY8;GNB1;ADCY9;PRKCA;GNB2;ADCY2;PPP3R1;GNG5;AHCYL1;GNGT2;POMC;ADCY1;GNG12;GNB5;PRKAR2A;ADCY3;CAMK4;GNG8;PPP3CC;PLCB1;PLCB4;ITPR3;PRKACG;CAMK2D;GNG3;GNAL;KPNA2;PPP1R1B;PRKACA;MAPK1;PPP2R1B;PDE4C;PLA2G4A;GRK2;PPP2R5D;PRKACB;GNAI2;NBEA;CAMK2A;PLCB2;GNAO1;PDE1C;ADCY7;PDE1A;GNAI3;PDE4D;GNAI1;ITPR2;CDK5;GNG11;GNB3;CALM1;GNG4;PRKCD;PRKX;PPP2R1A;CAMK2B;PPP2CB;GNAZ;GNB4;PPP3CA;PRKAR2B;CAMKK2;ITPR1;ADCY5;CAMK2G;PPP2CA
CUSTOM140674733480768	Orc1 removal from chromatin	66/71			PSMB2;PSMB9;MCM2;PSMD12;PSMD8;PSMD11;RPS27A;PSMC1;RBX1;PSMA4;PSMA5;ORC1;PSMA7;CUL1;ORC6;MCM4;PSMD10;PSMB4;PSMA1;PSMD6;PSMB3;PSMB10;PSMA6;PSMC6;ORC4;CCNA2;PSMC3;PSME2;PSMD9;PSMD4;PSMD5;PSMC4;ORC2;PSMB11;PSMA2;SKP1;PSMD1;PSMD14;CDK2;PSMD3;MCM6;UBB;PSMC2;PSMD7;PSME4;PSMB1;PSMB8;MCM7;PSME1;UBA52;PSMA8;PSMA3;PSMC5;PSMB6;ORC5;MCM3;PSMD2;PSMF1;PSMB7;MCM5;PSME3;MCM8;SKP2;PSMB5;PSMD13;ORC3
CUSTOM140674733480768	Organelle biogenesis and maintenance	253/282			YWHAG;BBS7;CKAP5;CEP152;CEP57;GABPA;TCTEX1D2;ATP5ME;GLUD2;POLG2;SIRT4;TTC8;ARL13B;CEP290;IFT122;HSPA9;DYNC2H1;BBS9;ATAT1;CDK1;GABPB1;PRKAG2;DYNLL2;TMEM67;TTC30A;ATP5F1A;CEP97;MTX2;ATP5PO;BBS5;CEP89;DYNC1H1;SMO;SSBP1;CCP110;CEP70;NPHP1;CREBBP;ARL3;RXRA;CEP162;PDE6D;CSNK1D;MEF2D;TCTN3;ATF2;EXOC2;TGS1;CREB1;WDR34;MTX1;PKD1;KIF24;CHCHD3;NRF1;DCTN1;ATP5MF;SMARCD3;TFB2M;TUBB;B9D1;CYS1;BBS1;HAUS5;MTERF1;TBL1XR1;ACTR1A;HELZ2;HCFC1;RAB8A;CEP250;TCTN2;MAPK11;TMEM11;CEP63;UNC119B;KIFAP3;WDR60;RPGRIP1L;CYCS;CCT2;NEDD1;CEP131;BBS2;CENPJ;PRKAA2;HAUS3;MT-ATP8;APOOL;TUBB4B;RAB11A;EXOC3;CRTC2;CAMK4;IFT52;EXOC6;HAUS1;IFT80;CEP135;TUBB4A;AKAP9;IFT81;CHCHD6;NCOA2;APOO;ATP5MG;ATP5F1C;TTBK2;IFT172;YWHAE;EXOC1;PCM1;SFI1;HAUS7;EXOC7;NCOA1;MARK4;MKKS;PLK1;SIRT3;TTC30B;HAUS6;CCT4;CRTC1;IFT22;IFT88;SDCCAG8;SSNA1;EXOC5;CC2D2A;RAB3IP;IFT46;IFT57;OFD1;CHD9;BBS4;ALMS1;PERM1;TUBA1A;C2CD3;CEP78;PRKACA;ACSS2;ATP5F1E;TTC26;IFT20;CEP192;CCT3;ATP5PF;ARL6;TBL1X;DYNC2LI1;GBF1;INPP5E;ATP5PD;B9D2;HAUS4;DCTN2;NDE1;ASAP1;MAPK14;ATP5F1D;CCT5;FBF1;IMMT;HSPB11;ATP5PB;PRKAB2;WDR19;TFAM;CNTRL;ATP5MC3;ATP5MC1;HSP90AA1;IDH2;HDAC6;IQCB1;KIF17;NR1D1;NPHP3;EXOC8;MAPK12;KIF3C;DYNC1I2;MAPRE1;DCTN3;LZTFL1;NCOA6;IFT43;SCLT1;CLASP1;CEP83;RAB11FIP3;TTC21B;NPHP4;DYNLL1;IFT74;KIF3A;CCT8;HAUS8;PCNT;SOD2;CARM1;IFT27;EXOC4;CEP41;POLRMT;CEP76;TUBA4A;FGFR1OP;TRIP11;CALM1;CLUAP1;TNPO1;ATP5F1B;SAMM50;IFT140;TRAF3IP1;TUBG1;NINL;MT-ATP6;TCTN1;MED1;PKD2;NCOR1;PRKAB1;ALAS1;CRTC3;MEF2C;CDK5RAP2;HDAC3;PPP2R1A;BBIP1;PAFAH1B1;ODF2;KIF3B;SIRT5;CEP164;DNAJC11;PRKAG1;HAUS2;DYNLRB1;RP2;ESRRA;GLUD1;TCP1;CETN2;PRKAR2B;ATP5B;WDR35;TFB1M;MKS1;ARF4
CUSTOM140674733480768	Organic anion transport	5/5			SLC22A6;SLC22A7;SLC22A12;SLC22A11;SLC22A8
CUSTOM140674733480768	Organic anion transporters	7/10			SLC25A22;SLC17A7;SLC5A8;SLC17A6;SLC17A5;SLC25A10;SLC25A18
CUSTOM140674733480768	Organic cation transport	6/10			SLC22A5;RUNX1;SLC22A18;SLC22A4;SLC22A2;SLC22A3
CUSTOM140674733480768	Organic cation/anion/zwitterion transport	11/15			SLC22A5;SLC22A6;RUNX1;SLC22A7;SLC22A18;SLC22A12;SLC22A4;SLC22A11;SLC22A2;SLC22A3;SLC22A8
CUSTOM140674733480768	Other interleukin signaling	20/24			CD4;IL10RB;STX1A;STX3;IL34;PTPRZ1;TXLNA;TYK2;SNAP25;CSF1;CSF1R;JAK1;CASP3;VAMP2;STXBP2;IL16;SDC1;PRTN3;STX4;IL32
CUSTOM140674733480768	Other semaphorin interactions	19/19			PLXNB3;SEMA6A;CD72;PLXNA2;SEMA7A;PLXND1;ITGB1;SEMA6D;ITGA1;SEMA4D;PLXNA4;SEMA4A;SEMA3E;TREM2;PTPRC;TYROBP;PLXNC1;PLXNA1;SEMA5A
CUSTOM140674733480768	Ovarian tumor domain proteases	34/38			APC;RPS27A;RNF135;CDK1;YOD1;RIPK1;MAVS;NOD1;TRIM25;VCPIP1;TNFAIP3;TRAF6;PTEN;OTUD3;TP53;OTUD7A;RNF128;TNIP2;OTUD7B;UBB;ESR1;OTUB2;OTUD5;RHOA;OTUB1;UBA52;IFIH1;RIPK2;IKBKG;UBE2D1;TRAF3;DDX58;VCP;TNIP1
CUSTOM140674733480768	Oxidative Stress Induced Senescence	58/95			MAPK10;CBX8;SUZ12;CDKN2C;MAPK11;MAP2K7;TXN;RPS27A;H2AFX;MAP2K6;RNF2;MAPKAPK5;MAPK9;AGO3;PHC1;TNRC6B;KDM6B;TNRC6C;MAPK1;EZH2;EED;CDK4;RING1;RBBP4;MOV10;CBX6;MAPK3;PHC2;TP53;FOS;AGO1;MAP2K3;MAP2K4;CDK6;MAPK14;TFDP2;CBX2;CDKN2A;MAP4K4;AGO4;TNIK;MAPKAPK2;CDKN2B;MDM4;UBB;TFDP1;CDKN2D;MAP3K5;MAPKAPK3;RBBP7;UBA52;TNRC6A;MAPK8;MINK1;JUN;PHC3;E2F3;CBX4
CUSTOM140674733480768	Oxygen-dependent proline hydroxylation of Hypoxia-inducible Factor Alpha	61/66			PSMB2;PSMB9;UBE2D2;CUL2;PSMD12;PSMD8;PSMD11;RPS27A;PSMC1;RBX1;PSMA4;PSMA5;PSMA7;HIF1A;PSMD10;LIMD1;PSMB4;PSMA1;EPAS1;PSMD6;PSMB3;ELOC;PSMB10;UBE2D3;PSMA6;PSMC6;EGLN1;PSMC3;PSME2;PSMD9;PSMD4;PSMD5;PSMC4;AJUBA;PSMB11;PSMA2;PSMD1;ELOB;PSMD14;VHL;PSMD3;PSMD13;UBB;PSMC2;PSMD7;PSME4;PSMB1;PSMB8;PSME1;UBA52;PSMA8;PSMA3;PSMC5;PSMB6;PSMD2;PSMF1;PSMB5;UBE2D1;PSMB7;PSME3;WTIP
CUSTOM140674733480768	P2Y receptors	3/12			P2RY12;P2RY2;GPR17
CUSTOM140674733480768	PAOs oxidise polyamines to amines	1/2			PAOX
CUSTOM140674733480768	PCNA-Dependent Long Patch Base Excision Repair	21/21			POLD2;RFC3;APEX1;FEN1;POLD4;RPA2;POLE;RFC4;POLD3;PCNA;RFC2;RFC5;LIG1;POLD1;RFC1;POLB;RPA3;POLE4;RPA1;POLE2;POLE3
CUSTOM140674733480768	PCP/CE pathway	85/92			PSMB9;WNT5B;PSMD11;PSMA5;PRKCG;PSMB4;SMURF1;PSMB10;PSMC6;PSMB11;AP2B1;UBA52;PSME1;PSMA8;FZD3;PSMA3;PSMB6;PRKCA;FZD1;PSMB5;PSMB2;FZD6;PSMD12;ROR1;VANGL2;PSMD10;AP2A1;PSMB3;CLTB;SCRIB;FZD7;PFN1;PSMC3;PSME2;PRICKLE1;PRKCB;DAAM1;PSMA2;PSMD14;PSMD3;UBB;PSMD7;PSMB8;RHOA;PSMC5;RAC1;RPS27A;PSMA4;RAC2;PSMA7;CLTC;PSMA1;WNT11;AP2S1;PSMD4;PSMD5;PSMD1;ARRB2;AP2A2;RAC3;AP2M1;PSMC2;PSMF1;PSME3;PARD6A;PSMD13;WNT5A;PSMD8;PSMC1;ROR2;PSMD6;PSMA6;WNT4;FZD2;DVL2;PSMD9;PSMC4;CLTA;DVL3;PSME4;PSMB1;SMURF2;PSMD2;PSMB7;DVL1
CUSTOM140674733480768	PD-1 signaling	20/30			HLA-DRA;HLA-DQA2;CD4;PTPN11;HLA-DRB3;CD247;CD274;HLA-DPA1;CSK;HLA-DRB5;HLA-DQA1;LCK;HLA-DRB4;PTPN6;CD3E;HLA-DPB1;HLA-DRB1;HLA-DQB1;CD3G;CD3D
CUSTOM140674733480768	PDE3B signalling	2/2			PDE3B;AKT2
CUSTOM140674733480768	PDGFR mutants bind TKIs	1/1			PDGFRA
CUSTOM140674733480768	PECAM1 interactions	12/12			PTPN6;PECAM1;ITGB3;INPP5D;ITGAV;PTPN11;LCK;YES1;PLCG1;LYN;SRC;FYN
CUSTOM140674733480768	PERK regulates gene expression	30/33			EXOSC5;EXOSC1;EXOSC9;EXOSC4;ASNS;EIF2S1;EXOSC7;EXOSC8;PARN;CCL2;EIF2S3;EIF2S2;EXOSC3;NFYC;DIS3;DCP2;HERPUD1;CXCL8;EXOSC6;IGFBP1;NFYB;CEBPB;HSPA5;EIF2AK3;KHSRP;NFYA;CEBPG;ATF6;ATF3;EXOSC2
CUSTOM140674733480768	PI Metabolism	78/84			PLEKHA6;TNFAIP8L1;SACM1L;ARF3;INPP5K;PI4KA;MTMR6;PIK3CA;RAB4A;ARF1;MTMR8;MTMR1;PLEKHA5;PIP4K2C;SBF2;PLEKHA8;BMX;SYNJ1;PIK3R5;MTMR3;INPP5F;SYNJ2;MTMR14;PITPNB;PLEKHA3;RAB5A;MTMR12;FIG4;MTMR9;INPP5D;MTM1;PLEKHA2;GDPD3;TNFAIP8;PIK3C2A;MTMR10;PLEKHA1;PIP5K1B;GDPD1;RAB14;PI4K2B;PIK3R2;PI4K2A;INPPL1;INPP4A;PIK3CB;VAC14;INPP4B;INPP5J;INPP5E;PTPN13;ENPP6;PIKFYVE;PIP4K2B;PNPLA6;PIK3C2B;PIK3CG;PNPLA7;MTMR4;SBF1;PIK3R4;PIK3R6;PLEKHA4;PI4KB;RUFY1;MTMR2;PIK3R1;PIK3CD;MTMR7;PTEN;GDE1;TNFAIP8L3;PIK3C3;PIP5K1A;PIP4K2A;PIP5K1C;OCRL;TNFAIP8L2
CUSTOM140674733480768	PI and PC transport between ER and Golgi membranes	1/1			PITPNB
CUSTOM140674733480768	PI-3K cascade:FGFR1	9/21			PIK3CA;GRB2;PIK3R1;KL;FGF1;PTPN11;FGF2;GAB1;FGFR1
CUSTOM140674733480768	PI-3K cascade:FGFR2	9/23			PIK3CA;FGF7;GRB2;PIK3R1;FGFR2;FGF1;PTPN11;FGF2;GAB1
CUSTOM140674733480768	PI-3K cascade:FGFR3	8/18			PIK3CA;GRB2;PIK3R1;FGF1;FGF2;GAB1;PTPN11;FGFR3
CUSTOM140674733480768	PI-3K cascade:FGFR4	7/20			PIK3CA;GRB2;PIK3R1;FGF1;PTPN11;FGF2;GAB1
CUSTOM140674733480768	PI3K Cascade	24/44			FGF7;PIK3R1;FGF1;PTPN11;IRS2;PDPK1;PIK3CA;GAB2;THEM4;FGFR3;PIK3C3;GRB2;AKT2;FGF2;FLT3;GAB1;IRS1;KL;PIK3R2;FGFR2;PDE3B;FGFR1;PIK3R4;PIK3CB
CUSTOM140674733480768	PI3K events in ERBB2 signaling	11/16			EGF;PIK3CA;EGFR;GRB2;ERBB3;ERBB4;NRG1;PIK3R1;GAB1;ERBB2;BTC
CUSTOM140674733480768	PI3K events in ERBB4 signaling	5/10			PIK3CA;PIK3R1;ERBB4;NRG1;BTC
CUSTOM140674733480768	PI3K/AKT Signaling in Cancer	72/102			FGF7;PIK3R1;ERBB4;TRAT1;FGF1;PTPN11;RAC2;GSK3A;ERBB2;IRS2;BTC;PIK3CD;FOXO4;STRN;PDPK1;PIK3CA;ERBB3;CDKN1A;NRG1;CDKN1B;RHOG;PIK3AP1;AKT3;PDGFRB;CASP9;RPS6KB2;GSK3B;TSC2;TGFA;LCK;PTEN;NR4A1;SRC;FGFR3;BAD;FOXO3;RICTOR;PRR5;MLST8;EGFR;MET;GRB2;PIK3CB;CD86;ICOS;CD19;MAPKAP1;FGF2;AKT2;GAB1;ESR1;KIT;IRS1;FYN;CREB1;CD28;PDGFRA;EGF;FOXO1;HGF;PIK3R2;KL;CHUK;FGFR2;AKT1;RAC1;AREG;AKT1S1;FGFR1;MTOR;VAV1;KITLG
CUSTOM140674733480768	PI3K/AKT activation	7/9			PIK3CA;IRS1;PIK3R1;PIK3R2;IRS2;PIK3CB;RHOA
CUSTOM140674733480768	PI5P Regulates TP53 Acetylation	8/9			PIP4K2B;MAP2K6;TP53;PIP4K2A;PIP4K2C;PIN1;ING2;EP300
CUSTOM140674733480768	PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling	73/103			FGF7;IL33;PIK3R1;ERBB4;TRAT1;FGF1;PTPN11;RAC2;ERBB2;IRS2;BTC;KITLG;PIK3CD;PPP2R5E;STRN;MAPK1;PIK3CA;PPP2R1B;ERBB3;NRG1;RHOG;PIK3AP1;TRAF6;PDGFRB;IL1RL1;MAPK3;TGFA;LCK;PPP2R5B;PIP4K2C;SRC;FGFR3;PPP2R5A;INSR;PPP2R5D;EGFR;MET;GRB2;PIP4K2B;CD86;ICOS;CD19;FGF2;GAB1;PPP2R1A;IL1RAP;IRAK1;PIP5K1A;ESR1;KIT;IRS1;FYN;PIP4K2A;PIP5K1B;PPP2CB;CD28;PDGFRA;EGF;IRAK4;MYD88;HGF;PIK3R2;KL;PIP5K1C;FGFR2;AKT1;RAC1;AREG;FGFR1;VAV1;PPP2R5C;PIK3CB;PPP2CA
CUSTOM140674733480768	PINK1-PRKN Mediated Mitophagy	20/22			MFN1;TOMM6;TOMM22;RPS27A;TOMM40;MAP1LC3A;TOMM5;TOMM7;SQSTM1;MTERF3;TOMM20;UBB;ATG12;UBA52;MAP1LC3B;TOMM70;PINK1;ATG5;VDAC1;MFN2
