Term,es,nes,pval,fdr,geneset_size,matched_size,genes,ledge_genes
TRAF6 mediated NF-kB activation,0.28055195034421904,1.1954304326943532,0.2944915254237288,0.7601505026710239,24,23,S100B;NKIRAS2;S100A12;IKBKG;TRIM25;RNF135;NFKBIA;NFKB1;TRAF2;SAA1;RELA;DDX58;IFIH1;HMGB1;CHUK;APP;IKBKB;MAP3K1;NFKBIB;MAVS;NKIRAS1;NFKB2;TRAF6,S100B;NKIRAS2;S100A12;IKBKG;TRIM25;RNF135;NFKBIA;NFKB1;TRAF2;SAA1;RELA;DDX58;IFIH1;HMGB1
Activation of AMPK downstream of NMDARs,0.33989327893339294,1.1965611163980021,0.46973365617433416,0.7603962288505691,10,8,MAPT;PRKAG2;CAMKK2;PRKAB1;PRKAA1;PRKAA2;PRKAG1;PRKAB2,MAPT;PRKAG2;CAMKK2;PRKAB1
SCF-beta-TrCP mediated degradation of Emi1,0.24779082321946597,1.1955570726318594,0.19312436804853386,0.7606919495872528,55,50,PSMA4;PSMA5;PSMA7;PSMB7;PSMC2;PSMC3;PSMD1;PSMD12;PSMD8;PSME1;PSME2;PSME3;PSMA8;PSMD14;PSMA1;PSMB3;PSMD3;PSMC1;PSMF1;PSMD7;PSMD13;SKP1;PSMD6;PSMD9;PSMA6;PSMC6;PSMD2;PSMB2;RPS27A;PSMD5;CUL1;PSMA2;PSMB8;PSMB10;PSMB5;BTRC;PSMA3;UBB;PSMB6;PSMD11;PSMB4;PSME4;PSMC5;UBA52;CDC20;PSMC4;PSMD10;PSMB1;PSMB9;PSMD4,PSMA4;PSMA5;PSMA7;PSMB7;PSMC2;PSMC3;PSMD1;PSMD12;PSMD8;PSME1;PSME2;PSME3;PSMA8;PSMD14;PSMA1;PSMB3;PSMD3;PSMC1;PSMF1;PSMD7;PSMD13;SKP1;PSMD6
Signaling by NOTCH1 HD Domain Mutants in Cancer,-0.24875393305138419,-4.747457060714133,0.6358695652173914,0.7608012167641631,15,9,MIB2;ADAM17;JAG1;NOTCH1;MIB1;RPS27A;UBB;ADAM10;UBA52,ADAM17;JAG1;NOTCH1;MIB1;RPS27A;UBB;ADAM10;UBA52
Utilization of Ketone Bodies,0.4188008735358284,1.1958979706251163,0.6527196652719666,0.7608423115692307,4,3,ACAT1;BDH1;OXCT1,ACAT1;BDH1;OXCT1
Synthesis of Lipoxins (LX),0.36300290429444737,1.1922580602309563,0.6066666666666667,0.7637077371335442,6,5,HPGD;ALOX12;ALOX5;ALOX5AP;PTGR1,HPGD;ALOX12
Free fatty acids regulate insulin secretion,0.3239074929049021,1.1925005324252798,0.5277777777777778,0.7640753959771299,11,8,GNA11;GNAQ;PLCB3;CD36;PLCB1;PLCB2;ACSL4;ACSL3,GNA11;GNAQ;PLCB3;CD36;PLCB1;PLCB2;ACSL4
SHC-mediated cascade:FGFR3,0.3141970167139224,1.1927258779564238,0.4214202561117579,0.7644731326463318,18,11,FGF2;SHC1;NRAS;GRB2;SOS1;FGFR3;FGF17;KRAS;HRAS;FGF4;FGF20,FGF2;SHC1;NRAS;GRB2;SOS1;FGFR3;FGF17
Eukaryotic Translation Termination,0.5998390625422128,3.0800962941657066,0.0,0.7656315681636797,98,90,FAU;RPS27L;RPS12;RPS13;RPS15A;RPS16;RPS19;RPS2;RPS20;RPS21;RPS24;RPS25;RPS27;RPS28;RPS29;RPS3;RPS3A;RPS4X;RPS4Y2;RPS5;RPS6;RPS7;RPS8;RPS9;RPSA;RPS11;RPS10;RPL31;RPL32;RPL34;RPL35;RPL35A;RPL36A;RPL36AL;RPL37;RPL38;RPL4;RPL5;RPL6;RPL7;RPL7A;RPL8;RPL9;RPLP0;RPLP1;RPLP2;RPL3;RPL28;RPL27A;RPL27;RPL10;RPL10A;RPL11;RPL12;RPL13;RPL13A;RPL14;RPL17;RPL18;RPL21;RPL22;RPL23;RPL23A;RPL24;RPL26;RPL26L1;RPS17;RPS18;ETF1;RPL15;RPL3L;RPS23;RPL37A;RPL29;RPL18A;RPS15;RPL22L1;RPL19;RPS26;RPL39;RPS27A;GSPT1;RPL30;TRMT112;N6AMT1;APEH;RPL36;GSPT2;UBA52;RPS14,FAU;RPS27L;RPS12;RPS13;RPS15A;RPS16;RPS19;RPS2;RPS20;RPS21;RPS24;RPS25;RPS27;RPS28;RPS29;RPS3;RPS3A;RPS4X;RPS4Y2;RPS5;RPS6;RPS7;RPS8;RPS9;RPSA;RPS11;RPS10;RPL31;RPL32;RPL34;RPL35;RPL35A;RPL36A;RPL36AL;RPL37;RPL38;RPL4;RPL5;RPL6;RPL7;RPL7A;RPL8;RPL9;RPLP0;RPLP1;RPLP2;RPL3;RPL28;RPL27A;RPL27;RPL10;RPL10A;RPL11;RPL12;RPL13;RPL13A;RPL14;RPL17;RPL18;RPL21;RPL22;RPL23;RPL23A;RPL24;RPL26;RPL26L1
Wax and plasmalogen biosynthesis,-0.49647572719152433,-4.432045089255827,0.23308270676691728,0.7660445241231105,7,4,DHRS7B;GNPAT;AGPS;FAR1,DHRS7B;GNPAT;AGPS;FAR1
IRAK1 recruits IKK complex,-0.2697120158887756,-4.4146201537380545,0.7105263157894737,0.7664834131664574,10,7,IKBKG;UBE2N;PELI2;CHUK;IRAK1;IKBKB;TRAF6,IKBKG;UBE2N;PELI2;CHUK;IRAK1;IKBKB;TRAF6
Eicosanoids,-0.2842924080316709,-4.399270165222854,0.5792079207920792,0.7668069070134775,12,7,PTGIS;CYP4F22;TBXAS1;CYP4A11;CYP4B1;CYP4F3;CYP4F11,CYP4F22;TBXAS1;CYP4A11;CYP4B1;CYP4F3;CYP4F11
Signaling by NTRK2 (TRKB),0.2918232189816873,1.1898294302363424,0.3217768147345612,0.7674463369325416,25,17,GAB1;SRC;SHC1;PTPN11;PIK3R1;FYN;PLCG1;RAC1;NRAS;GRB2;SOS1;FRS2;PIK3CA;KRAS;HRAS;CDK5;TIAM1,GAB1;SRC;SHC1;PTPN11;PIK3R1;FYN;PLCG1;RAC1;NRAS;GRB2;SOS1
Metabolism of cofactors,0.2990352171799813,1.1880739966832745,0.39727582292849034,0.7698893781308818,19,14,HSP90AA1;NOS3;DHFR;COQ6;COQ3;COQ9;PTS;IDH1;GCHFR;AKT1;COQ5;COQ7;PDSS2;SPR,HSP90AA1;NOS3;DHFR;COQ6;COQ3;COQ9;PTS;IDH1;GCHFR;AKT1
