t	N
699.3539902690574	207
699.4592537710863	208
699.4812405934582	209
699.6763099274465	208
699.7165525823551	209
699.8927060762695	210
700.3020522242792	211
700.3660395211958	212
700.4268989849601	211
700.4718830951397	210
700.6309704442107	211
700.8252930805033	210
700.8772171053306	211
701.2852311341818	212
701.4170429174001	211
701.4347672287563	210
701.5202480347577	211
701.6034653023157	210
701.6880549100786	211
701.7813486134942	210
701.8713320570486	211
702.0285410841877	210
702.0621225521334	211
702.119417205724	212
702.1730108254889	213
702.315360429728	212
702.5691662776994	213
702.8454818689745	214
703.1426248071307	213
703.5095434183735	214
703.551672573822	213
703.5531372328076	212
703.9483389107467	213
703.9625419990099	212
704.0900041164101	211
704.2197574358343	210
704.477588971544	209
704.5221793820912	210
704.7393293584253	211
705.3005120793376	210
705.3567886718046	211
705.4070695155744	210
705.5249931403187	211
705.6127307138737	212
705.7244282147337	213
705.7537336785575	214
706.0098401303367	215
706.1846315870162	216
706.3733288804149	217
706.6231248639712	216
706.6523872423672	215
706.6771853261049	216
706.8624844284942	217
706.9726759558521	216
707.1280952396029	217
707.1423145485635	216
707.1666283593341	215
707.1808509543946	214
707.3122717855684	215
707.5060232231284	216
707.5623699989729	217
708.043017013575	216
708.160606067621	215
708.1978198930568	216
708.489745169459	215
708.5689083460978	216
708.5972883206002	217
708.8846123262638	216
709.5286461060442	217
709.6738642665116	216
709.7009151147814	215
709.7031534920018	214
709.7951637983418	213
709.8189262470393	212
710.1322828246185	213
710.4312678448659	212
710.8359745171113	211
711.0371724804097	212
711.2141313710656	213
711.2419644994105	214
711.3130821337074	215
711.5761625369303	214
712.168448877809	215
712.2072429545151	216
712.5721667208535	215
712.6676029065944	214
712.8358147663981	215
713.0956175597315	216
713.3796897435805	217
713.4625606335957	218
713.5668146186842	219
714.1076854216578	218
714.3559288310746	217
714.4265550729334	216
714.6480902316106	217
714.8347018124246	218
714.877048040466	217
714.933555336238	216
714.9860522991024	215
714.9953493831767	214
715.0436370623037	215
715.6284707400508	214
716.1135040376245	215
716.1769338647453	216
716.2165520448142	215
716.3202471559542	214
716.3631547153021	215
716.4768965302949	216
716.7956032360291	217
716.8753773332164	218
717.2788819069358	217
717.3207460661785	216
717.5237431660931	217
717.6392208657217	216
717.8295166820469	217
717.8872002986045	216
718.3755884135437	217
718.3896036901328	218
718.5487198720227	217
718.5653774170825	218
718.5720272268082	219
718.6752211237006	218
718.7513382631568	217
719.2703317075843	218
719.323222030713	219
719.3966156845738	218
719.4413229479046	219
719.5920866641322	220
719.596701602056	221
719.8990915722757	220
719.9964204630298	219
720.0496709195758	220
720.2086473844504	219
720.2276803316871	218
720.2565546626262	219
720.3289571755913	220
720.3455909341247	221
720.3785132771746	222
720.4742436663623	223
720.4935678436715	224
720.4948150147911	225
720.4960904052216	226
720.5699274855207	227
720.6971929409898	226
720.7534063569985	227
721.1054491058327	228
721.1326961742568	229
721.1893726158066	230
721.2171615743632	229
721.4303510876928	230
721.4463794272324	231
721.6722816015924	230
722.2290508997044	231
722.3618536226253	232
722.3685912353349	231
722.5680791121113	232
722.5804076144344	233
722.629305391469	234
722.9075218578635	235
722.908968465663	236
723.1032858312469	235
723.1957442799437	236
723.2409866702037	235
723.2448660794807	236
723.3729651870242	235
723.4188357813368	234
723.447987274523	235
723.4649893166268	236
723.4939827935576	237
723.6636067860559	236
