	pathway_id	cancer_type	mean_expr	url	name	pathway_times_enriched	pathway_avg_rank	entities_pValue	entities_fdr	cancer_rank_pval
47	R-HSA-1236977	ovarian	-1.0	https://reactome.org/PathwayBrowser/#/R-HSA-1236977&DTAB=AN&ANALYSIS=MjAyMDA2MDkxNjQ1MjZfMjgy	Endosomal/Vacuolar pathway	8	13.625	0.021695385380408827	0.7803251322975149	15.0
48	R-HSA-927802	ccrcc	0.6111111111111112	https://reactome.org/PathwayBrowser/#/R-HSA-927802&DTAB=AN&ANALYSIS=MjAyMDA2MDkxNjQ1MDNfMjc1	Nonsense-Mediated Decay (NMD)	8	17.75	0.10365286374904548	0.8426403962485929	23.5
49	R-HSA-927802	colon	0.8148148148148148	https://reactome.org/PathwayBrowser/#/R-HSA-927802&DTAB=AN&ANALYSIS=MjAyMDA2MDkxNjQ1MDZfMjc2	Nonsense-Mediated Decay (NMD)	8	17.75	0.00018567485938592032	0.02580881972706428	12.5
50	R-HSA-927802	endometrial	0.6261682242990654	https://reactome.org/PathwayBrowser/#/R-HSA-927802&DTAB=AN&ANALYSIS=MjAyMDA2MDkxNjQ1MDlfMjc3	Nonsense-Mediated Decay (NMD)	8	17.75	0.08755203584398652	0.8219205345749762	25.5
51	R-HSA-927802	gbm	0.7714285714285715	https://reactome.org/PathwayBrowser/#/R-HSA-927802&DTAB=AN&ANALYSIS=MjAyMDA2MDkxNjQ1MTNfMjc4	Nonsense-Mediated Decay (NMD)	8	17.75	0.09008047128707031	0.803797666027487	18.5
52	R-HSA-927802	hnscc	0.2336448598130841	https://reactome.org/PathwayBrowser/#/R-HSA-927802&DTAB=AN&ANALYSIS=MjAyMDA2MDkxNjQ1MTZfMjc5	Nonsense-Mediated Decay (NMD)	8	17.75	0.15708215432537542	0.83292086846573	30.5
53	R-HSA-927802	lscc	0.7115384615384616	https://reactome.org/PathwayBrowser/#/R-HSA-927802&DTAB=AN&ANALYSIS=MjAyMDA2MDkxNjQ1MTlfMjgw	Nonsense-Mediated Decay (NMD)	8	17.75	0.0946653969672091	0.8726502026225027	12.5
54	R-HSA-927802	luad	0.7090909090909091	https://reactome.org/PathwayBrowser/#/R-HSA-927802&DTAB=AN&ANALYSIS=MjAyMDA2MDkxNjQ1MjNfMjgx	Nonsense-Mediated Decay (NMD)	8	17.75	0.046875549675676864	0.8489584258572173	7.5
55	R-HSA-927802	ovarian	0.8775510204081632	https://reactome.org/PathwayBrowser/#/R-HSA-927802&DTAB=AN&ANALYSIS=MjAyMDA2MDkxNjQ1MjZfMjgy	Nonsense-Mediated Decay (NMD)	8	17.75	0.019049263955845164	0.7803251322975149	11.5
56	R-HSA-975957	ccrcc	0.6111111111111112	https://reactome.org/PathwayBrowser/#/R-HSA-975957&DTAB=AN&ANALYSIS=MjAyMDA2MDkxNjQ1MDNfMjc1	Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC)	8	17.75	0.10365286374904548	0.8426403962485929	23.5
